MemberNo,TransactionDate,Comments, Amount ,,,,,
1592,22/02/2018,Uniform, 635.00 ,,,,,
1591,22/02/2018,Uniform, 506.00 ,,,,,
192,22/02/2018,Sustanance Allowance," 3,000.00 ",,,,,
1570,21/02/2018,School Fees & Uniform," 3,234.95 ",,,,,
1676,21/02/2018,Transport & Groceries," 1,490.00 ",,,,,
1697,20/02/2018,Transport," 1,000.00 ",,,,,
1696,20/02/2018,Transport," 1,000.00 ",,,,,
1410,20/02/2018,"Fees, Stationery & Uniform"," 3,130.00 ",,,,,
1582,20/02/2018,Uniform, 811.93 ,,,,,
1581,20/02/2018,Uniform, 617.91 ,,,,,
1580,20/02/2018,Uniform, 591.93 ,,,,,
1579,20/02/2018,Uniform, 813.90 ,,,,,
1578,20/02/2018,Uniform, 691.95 ,,,,,
1577,20/02/2018,Uniform, 461.94 ,,,,,
1681,19/02/2018,Chemotherapy Fees," 8,665.58 ",,,,,
952,19/02/2018,Examination Fees," 1,435.00 ",,,,,
1668,16/02/2018,Full Withdrawal," 109,157.72 ",,,,,
1670,16/02/2018,Full Withdrawal," 80,637.81 ",,,,,
1590,16/02/2018,Stationary, 914.70 ,,,,,
1583,16/02/2018,Transport," 1,000.00 ",,,,,
1679,15/02/2018,Tertiary Registration & Transport, 410.00 ,,,,,
1572,14/02/2018,School Fees & Transport," 3,000.00 ",,,,,
1703,14/02/2018,Transport, 300.00 ,,,,,
1700,14/02/2018,Transport, 300.00 ,,,,,
1562,14/02/2018,Refrigerator," 4,699.00 ",,,,,
79,14/02/2018,clothing," 1,965.00 ",,,,,
84,14/02/2018,clothing," 3,415.00 ",,,,,
1638,13/02/2018,Sports Wear," 1,500.00 ",,,,,
1620,13/02/2018,School Fees & Transport," 8,300.00 ",,,,,
1675,12/02/2018,Transport, 600.00 ,,,,,
1674,12/02/2018,Transport, 600.00 ,,,,,
1673,12/02/2018,Transport, 600.00 ,,,,,
377,12/02/2018,Uniform, 721.93 ,,,,,
1705,12/02/2018,Uniforms & books," 6,980.17 ",,,,,
1669,09/02/2018,"Boarding, Trip & Tuition Fees"," 21,315.00 ",,,,,
1534,09/02/2018,Lunch & Uniform," 1,629.90 ",,,,,
762,08/02/2018,School Fees," 10,189.98 ",,,,,
1681,08/02/2018,Medical Subs," 23,544.00 ",,,,,
891,08/02/2018,Furniture Purchase," 39,399.60 ",,,,,
1679,08/02/2018,Transport & Application Fees," 1,000.00 ",,,,,
778,08/02/2018,Rental & Hairdressing Course Fees," 3,320.00 ",,,,,
1590,06/02/2018,School Related Expenses," 3,871.00 ",,,,,
1569,05/02/2018,School Related Expenses," 2,400.00 ",,,,,
1686,01/02/2018,Books & Other Accessories," 2,553.40 ",,,,,
1685,01/02/2018,Books & Other Accessories, 998.00 ,,,,,
1700,31/01/2018,School Uniform," 1,580.00 ",,,,,
1703,31/01/2018,School Related Expenses," 6,244.00 ",,,,,
844,31/01/2018,School Related Expenses, 200.00 ,,,,,
886,31/01/2018,School Related Expenses, 336.00 ,,,,,
860,31/01/2018,School Related Expenses, 436.00 ,,,,,
1704,31/01/2018,School Uniform," 1,280.00 ",,,,,
1597,31/01/2018,Tertiary Institutions application Fee," 1,900.00 ",,,,,
1576,30/01/2018,School Bag, 250.00 ,,,,,
1575,30/01/2018,School Bag, 250.00 ,,,,,
1574,30/01/2018,School Related Requirements, 100.00 ,,,,,
1573,30/01/2018,School Fees," 2,080.00 ",,,,,
1665,30/01/2018,School Fees," 1,755.00 ",,,,,
1210,30/01/2018,School Requirements," 2,530.00 ",,,,,
1644,30/01/2018,Medication, 372.00 ,,,,,
79,29/01/2018,Regular Monthly Update, 940.00 ,,,,,
1699,29/01/2018,Bus Fare," 2,250.00 ",,,,,
1698,29/01/2018,Bus fare," 2,250.00 ",,,,,
1673,29/01/2018,Laptop acquisition," 4,999.99 ",,,,,
1706,29/01/2018,Pre-School Related Expenses," 23,050.00 ",,,,,
1494,29/01/2018,School Fees," 2,611.00 ",,,,,
736,29/01/2018,Top Up Fees, 400.00 ,,,,,
741,29/01/2018,Top Up Fees, 400.00 ,,,,,
1648,29/01/2018,School Fees & Uniform," 4,250.00 ",,,,,
1645,25/01/2018,School Related Expenses," 3,000.00 ",,,,,
1647,25/01/2018,School Fees," 3,500.00 ",,,,,
1687,25/01/2018,School Related Expenses," 9,310.00 ",,,,,
1638,25/01/2018,School Related Expenses," 24,385.00 ",,,,,
1681,25/01/2018,Medical Fees," 64,576.96 ",,,,,
1344,25/01/2018,School Fees, 900.00 ,,,,,
1360,25/01/2018,Uniforms," 1,389.99 ",,,,,
1706,25/1/2018,Payment Reversal to Rainmaker," 6,000.00 ",,,,,
1344,25/01/2018,Uniforms," 1,287.98 ",,,,,
1711,24/01/2018,Uniform," 16,028.35 ",,,,,
1710,24/01/2018,Fees & Uniform," 5,459.70 ",,,,,
1709,24/01/2018,Uniform," 1,520.56 ",,,,,
1697,24/01/2018,Fees & Uniform Expenses," 6,663.95 ",,,,,
1696,24/01/2018,Fees & Uniform Expenses," 7,488.95 ",,,,,
1699,24/01/2018,School Uniform," 1,179.00 ",,,,,
1698,24/01/2018,School Uniform, 725.00 ,,,,,
1072,24/01/2018,School Fees," 1,000.00 ",,,,,
1067,24/01/2018,School Fees," 1,500.00 ",,,,,
1685,24/01/2018,Uniforms, 880.00 ,,,,,
1595,24/01/2018,School Related Expenses," 2,764.98 ",,,,,
551,24/01/2018,School Fees & Building Fund," 2,999.00 ",,,,,
905,24/01/2018,School Uniforms," 2,366.98 ",,,,,
926,24/01/2018,Uniforms, 818.90 ,,,,,
910,24/01/2018,Uniforms," 1,182.89 ",,,,,
1360,24/01/2018,Lunch & Transport, 650.00 ,,,,,
1344,24/01/2018,Lunch & Transport, 800.00 ,,,,,
1615,24/01/2018,Medical & Top Up Fees," 3,300.00 ",,,,,
382,24/01/2018,School Fees," 2,500.00 ",,,,,
1566,24/01/2018,School Related Expenses," 9,275.00 ",,,,,
1299,23/1/2018,School Fees," 5,299.00 ",,,,,
1299,23/1/2018,Grasshopper, 600.00 ,,,,,
1299,23/1/2018,Soccer Boots, 649.00 ,,,,,
1583,23/01/2018,School Fees," 6,592.00 ",,,,,
1607,22/01/2018,Final Withdrawal, 217.00 ,,,,,
1606,22/01/2018,Uniform," 1,114.93 ",,,,,
1608,22/01/2018,Uniform, 964.94 ,,,,,
1669,22/01/2018,School Related Expenses," 9,808.00 ",,,,,
839,22/01/2018,Transfer of Balance to close account," 1,598.92 ",,,,,
1674,22/01/2018,Book fee," 3,800.30 ",,,,,
1678,22/01/2018,School Uniform," 1,640.00 ",,,,,
567,22/01/2018,School Related Expenses," 11,862.00 ",,,,,
1004,22/01/2018,School Related Expenses," 5,048.00 ",,,,,
1608,22/01/2018,School Fees for Sister, 784.85 ,,,,,
1606,22/01/2018,School Fees for Sister, 784.85 ,,,,,
1670,19/01/2018,University Tuition Fees," 14,625.00 ",,,,,
1562,19/01/2018,University Related Expenses," 3,000.00 ",,,,,
530,19/01/2018,School Related Expenses," 14,400.00 ",,,,,
736,19/01/2018,School Related Expenses," 9,128.00 ",,,,,
1426,19/01/2018,School Related Expenses," 2,008.90 ",,,,,
1582,19/01/2018,School Related Expenses," 7,165.00 ",,,,,
1581,19/01/2018,School Related Expenses," 6,788.00 ",,,,,
1580,19/01/2018,School Rtelated Expenses," 3,405.00 ",,,,,
1579,19/01/2018,School Related Expenses, 605.00 ,,,,,
1578,19/01/2018,School Related Expenses," 4,835.00 ",,,,,
1577,19/01/2018,School Related Expenses," 3,405.00 ",,,,,
1299,19/01/2018,School Related Expenses," 6,548.00 ",,,,,
1529,19/01/2018,School Related Expenses," 6,245.86 ",,,,,
1671,19/01/2018,School Related Expenses," 2,520.00 ",,,,,
572,19/01/2018,School Related Expenses," 30,096.00 ",,,,,
1584,18/01/2018,School Related Expenses," 8,093.76 ",,,,,
314,18/01/2018,School Top Up Fees," 2,442.97 ",,,,,
1571,18/01/2018,School Related Expenses," 5,450.00 ",,,,,
799,18/01/2018,School Related Expenses," 4,000.00 ",,,,,
783,18/01/2018,School Related Expenses," 4,000.00 ",,,,,
290,18/01/2018,School Related Expenses," 3,690.00 ",,,,,
593,18/01/2018,School Uniform," 1,910.00 ",,,,,
588,18/01/2018,School Uniform," 2,080.00 ",,,,,
1088,17/01/2018,School Related Expenses, 170.00 ,,,,,
968,17/01/2018,School Related Expenses," 6,790.00 ",,,,,
1088,17/01/2018,School Related Expenses," 2,416.37 ",,,,,
16,17/01/2018,School Related Expenses," 1,745.97 ",,,,,
21,17/01/2018,School Related Expenses," 1,259.99 ",,,,,
1636,17/01/2018,School Related Expenses," 1,150.00 ",,,,,
1637,17/01/2018,School Related Requirements," 3,760.00 ",,,,,
192,17/01/2018,Personl Expenses," 7,000.00 ",,,,,
628,17/01/2018,School Related Expenses," 2,029.66 ",,,,,
1675,17/01/2018,School Related Expenses," 1,451.96 ",,,,,
1674,17/01/2018,School Related Expenses," 11,640.00 ",,,,,
1658,17/01/2018,School Related Expenses, 610.94 ,,,,,
314,17/01/2018,School Related Expenses, 980.00 ,,,,,
1606,17/01/2018,School Related Payments," 1,114.93 ",,,,,
1608,17/01/2018,School Related Payments, 964.94 ,,,,,
1607,17/01/2018,School Related  Expenses, 217.00 ,,,,,
1112,17/01/2018,School Related Payments," 8,784.72 ",,,,,
1686,15/01/2018,Study Materials," 1,109.00 ",,,,,
1623,15/01/2018,"Bag, Shoes, Shirt Trouser", 586.00 ,,,,,
1622,15/01/2018,Bag & Shoes, 458.99 ,,,,,
736,15/01/2018,"Transport, Lunch Box & Uniform"," 5,380.00 ",,,,,
710,15/01/2018,"Transport, Books & Bag"," 2,911.00 ",,,,,
741,15/01/2018,"Uniform, Transport & Lunch box"," 3,500.00 ",,,,,
696,15/01/2018,School Related Payments," 10,318.95 ",,,,,
